,Company Name,Country,Launcher,Shuttle,Rocket,Status Rocket,Year,Month,Status Mission
1299,RVSN USSR,Russian Federation,Molniya-M /Block ML, Molniya-1 n†­133,,StatusRetired,1998,8,Success
1300,Lockheed,USA,Titan IV(401)A, NROL-7 (Mercury),,StatusRetired,1998,8,Failure
1301,Northrop,USA,Pegasus XL/HAPS, Orbcomm B1 - B8,40.0,StatusActive,1998,8,Success
1302,VKS RF,Kazakhstan,Zenit-2, Cosmos 2360,,StatusRetired,1998,7,Success
1303,VKS RF,Kazakhstan,Zenit-2, Resurs-O1 n†­4 & Others,,StatusRetired,1998,7,Success
1304,SRC,Russian Federation,Shtil', Tubsat,,StatusRetired,1998,7,Success
1305,ISAS,Japan,Mu-V / M-24, Nozomi,,StatusRetired,1998,7,Success
1306,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-3 n†­167,,StatusRetired,1998,7,Success
1307,ILS,USA,Atlas IIAS, Intelsat 805,,StatusRetired,1998,6,Success
1308,CASC,China,Long March 3B, SinoSat 1,,StatusActive,1998,6,Success
1309,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2352 to 2357,,StatusRetired,1998,6,Partial Failure
1310,Boeing,USA,Delta II 7925, Thor III,,StatusRetired,1998,6,Success
1311,NASA,USA,Space Shuttle Discovery, STS-91,450.0,StatusRetired,1998,6,Success
1312,CASC,China,Long March 3B, ChinaStar 1,,StatusActive,1998,5,Success
1313,Boeing,USA,Delta II 7920-10C, MS-9,,StatusRetired,1998,5,Success
1314,Lockheed,USA,Titan II(23)G, NOAA-15,35.0,StatusRetired,1998,5,Success
1315,Lockheed,USA,Titan IV(401)B, NROL-6 (Mentor),,StatusRetired,1998,5,Success
1316,VKS RF,Russian Federation,Molniya-M /Block 2BL, Cosmos 2351,,StatusRetired,1998,5,Success
1317,CASC,China,Long March 2C, Iridium 69 & 71,30.8,StatusActive,1998,5,Success
1318,Arianespace,France,Ariane 44P," Nilesat-101, BSAT-1B",,StatusRetired,1998,4,Success
1319,Boeing,USA,Delta II 7920-10C, Globalstar-2,,StatusRetired,1998,4,Success
1320,NASA,USA,Space Shuttle Columbia, STS-90,450.0,StatusRetired,1998,4,Success
1321,Northrop,USA,Pegasus XL, TRACE,40.0,StatusActive,1998,4,Success
1322,Boeing,USA,Delta II 7920-10C, MS-8,,StatusRetired,1998,3,Success
1323,CASC,China,Long March 2C, Iridium 51 & 61,30.8,StatusActive,1998,3,Success
1324,Arianespace,France,Ariane 40, SPOT-4,,StatusRetired,1998,3,Success
1325,Lockheed,USA,Atlas II, UHF F8,,StatusRetired,1998,3,Success
1326,ILS,USA,Atlas IIAS, Intelsat 806,,StatusRetired,1998,2,Success
1327,Arianespace,France,Ariane 42P, Hot Bird 4,,StatusRetired,1998,2,Success
1328,Northrop,USA,Pegasus XL, SNOE & BATSAT,40.0,StatusActive,1998,2,Success
1329,MHI,Japan,H-II, Kakehashi,,StatusRetired,1998,2,Partial Failure
1330,Boeing,USA,Delta II 7920-10C, MS-7,,StatusRetired,1998,2,Success
1331,Boeing,USA,Delta II 7420-10C, Globalstar-1,,StatusRetired,1998,2,Success
1332,Northrop,USA,Minotaur C (Taurus), GFO & Orbcomm 11 and 12,45.0,StatusActive,1998,2,Success
1333,Arianespace,France,Ariane 44LP," Brasilsat B3, Inmarsat-3 F5",,StatusRetired,1998,2,Success
1334,Lockheed,USA,Atlas IIA, NROL-5/SDS,,StatusRetired,1998,1,Success
1335,IAI,Israel,Shavit, Ofek-4,,StatusRetired,1998,1,Failure
1336,NASA,USA,Space Shuttle Endeavour, STS-89,450.0,StatusRetired,1998,1,Success
1337,Boeing,USA,Delta II 7925, Skynet 4D,,StatusRetired,1998,1,Success
1338,Lockheed,USA,Athena II, Lunar Prospector,,StatusRetired,1998,1,Success
1339,ILS,Kazakhstan,Proton K/Block DM-3, PAS-22,,StatusRetired,1997,12,Partial Failure
1340,MITT,Russian Federation,Start-1, Earlybird 1,,StatusActive,1997,12,Success
1341,Northrop,USA,Pegasus XL/HAPS, Orbcomm A1-A8,40.0,StatusActive,1997,12,Success
1342,Arianespace,France,Ariane 42L, Intelsat 804,,StatusRetired,1997,12,Success
1343,Boeing,USA,Delta II 7920-10C, MS-6,,StatusRetired,1997,12,Success
1344,Arianespace,France,Ariane 44L," Sirius-2, Cakrawarta-1",,StatusRetired,1997,12,Success
1345,VKS RF,Kazakhstan,Tsyklon-2, Cosmos 2347,,StatusRetired,1997,12,Success
1346,ILS,USA,Atlas IIAS, Galaxy 8i,,StatusRetired,1997,12,Success
1347,CASC,China,Long March 2C, Iridium 42 & 44,30.8,StatusActive,1997,12,Success
1348,Arianespace,France,Ariane 44P," JCSAT-5, Equator S",,StatusRetired,1997,12,Success
1349,MHI,Japan,H-II, TRMM & Orihime/Hikoboshi,,StatusRetired,1997,11,Success
1350,NASA,USA,Space Shuttle Columbia, STS-87,450.0,StatusRetired,1997,11,Success
1351,Boeing,USA,Delta II 7920-10C, MS-5,,StatusRetired,1997,11,Success
1352,Lockheed,USA,Titan IV(401)A, NROL-4 (Trumpet),,StatusRetired,1997,11,Success
1353,Boeing,USA,Delta II 7925, USA-134 (GPS IIA-19),,StatusRetired,1997,11,Success
1354,AEB,Brazil,VLS-1, SCD-2A,,StatusActive,1997,11,Failure
1355,ESA,France,Ariane 5 G," MaqSat-H, TEAMSAT, MaqSat-B, YES",,StatusRetired,1997,10,Partial Failure
1356,Lockheed,USA,Atlas IIA, DSCS IIIB-13,,StatusRetired,1997,10,Success
1357,Lockheed,USA,Titan IV(403)A, NROL-3 (Lacrosse),,StatusRetired,1997,10,Success
1358,Northrop,USA,Pegasus XL, STEP-4,40.0,StatusActive,1997,10,Success
1359,CASC,China,Long March 3B, Apstar 2R,,StatusActive,1997,10,Success
1360,Lockheed,USA,Titan IV(401)B, Cassini???Huygens,,StatusRetired,1997,10,Success
1361,ILS,USA,Atlas IIAS, Echostar 3,,StatusRetired,1997,10,Success
1362,ISRO,India,PSLV-G, IRS-1D,25.0,StatusRetired,1997,9,Partial Failure
1363,Boeing,USA,Delta II 7920-10C, MS-4,,StatusRetired,1997,9,Success
1364,NASA,USA,Space Shuttle Atlantis, STS-86,450.0,StatusRetired,1997,9,Success
1365,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-1T n†­166,,StatusRetired,1997,9,Success
1366,Arianespace,France,Ariane 44LP, Intelsat 803,,StatusRetired,1997,9,Success
1367,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2346 & FAISAT-2V,,StatusRetired,1997,9,Success
1368,ILS,USA,Atlas IIAS, GE-3,,StatusRetired,1997,9,Success
1369,Arianespace,France,Ariane 44LP," Hot Bird 3, Meteosat 7",,StatusRetired,1997,9,Success
1370,CASC,China,Long March 2C, Iridium mass simulator A&B,30.8,StatusActive,1997,9,Success
1371,Northrop,USA,Pegasus XL, FORTE,40.0,StatusActive,1997,8,Success
1372,Boeing,USA,Delta II 7920-8, Advanced Composition Explorer,,StatusRetired,1997,8,Success
1373,Lockheed,USA,Athena I, Lewis,,StatusRetired,1997,8,Success
1374,Boeing,USA,Delta II 7920-10C, MS-3,,StatusRetired,1997,8,Success
1375,CASC,China,Long March 3B, Agila-2,,StatusActive,1997,8,Success
1376,Arianespace,France,Ariane 44P, Panamsat-6,,StatusRetired,1997,8,Success
1377,NASA,USA,Space Shuttle Discovery, STS-85,450.0,StatusRetired,1997,8,Success
1378,Northrop,USA,Pegasus XL, OrbView-2,40.0,StatusActive,1997,8,Success
1379,ILS,USA,Atlas IIAS, Superbird C,,StatusRetired,1997,7,Success
1380,Boeing,USA,Delta II 7925, USA-132 (GPS IIR-2),,StatusRetired,1997,7,Success
1381,Boeing,USA,Delta II 7920-10C, MS-2,,StatusRetired,1997,7,Success
1382,NASA,USA,Space Shuttle Columbia, STS-94,450.0,StatusRetired,1997,7,Success
1383,Arianespace,France,Ariane 44P, Intelsat 802,,StatusRetired,1997,6,Success
1384,CASC,China,Long March 3, Fengyun-2A,,StatusRetired,1997,6,Success
1385,Arianespace,France,Ariane 44L," Inmarsat 3 F4, Insat 2D",,StatusRetired,1997,6,Success
1386,Boeing,USA,Delta II 7925, Telenor Thor II,,StatusRetired,1997,5,Success
1387,VKS RF,Kazakhstan,Zenit-2, Tselina-2 n†­19,,StatusRetired,1997,5,Failure
1388,NASA,USA,Space Shuttle Atlantis, STS-84,450.0,StatusRetired,1997,5,Success
1389,VKS RF,Russian Federation,Molniya-M /Block 2BL, Cosmos 2342,,StatusRetired,1997,5,Success
1390,CASC,China,Long March 3A, ChinaSat 6,69.7,StatusActive,1997,5,Success
1391,Boeing,USA,Delta II 7920-10C, MS-1,,StatusRetired,1997,5,Success
1392,Lockheed,USA,Atlas I, GOES-K,,StatusRetired,1997,4,Success
1393,Northrop,USA,Pegasus XL, MiniSat & Celestis space burial,40.0,StatusActive,1997,4,Success
1394,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2341,,StatusRetired,1997,4,Success
1395,Arianespace,France,Ariane 44LP," Thaicom 3, BSAT 1a",,StatusRetired,1997,4,Success
1396,NASA,USA,Space Shuttle Columbia, STS-83,450.0,StatusRetired,1997,4,Success
1397,Lockheed,USA,Titan II(23)G, USA-131,35.0,StatusRetired,1997,4,Success
1398,ILS,USA,Atlas IIA, Tempo 2,,StatusRetired,1997,3,Success
1399,MITT,Russian Federation,Start-1, Zeya,,StatusActive,1997,3,Success
1400,Arianespace,France,Ariane 44P, Intelsat 801,,StatusRetired,1997,3,Success
1401,Lockheed,USA,Titan IV(402)B, DSP,,StatusRetired,1997,2,Success
1402,ILS,USA,Atlas IIAS, JCSAT-4,,StatusRetired,1997,2,Success
1403,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2337 to 2339 & Gonets 4 to 6,,StatusRetired,1997,2,Success
1404,ISAS,Japan,Mu-V / M-24, Muses B,,StatusRetired,1997,2,Success
1405,NASA,USA,Space Shuttle Discovery, STS-82,450.0,StatusRetired,1997,2,Success
1406,Arianespace,France,Ariane 44L," GE-2, Nahuel 1A",,StatusRetired,1997,1,Success
1407,Boeing,USA,Delta II 7925, GPS IIR-1,,StatusRetired,1997,1,Failure
1408,NASA,USA,Space Shuttle Atlantis, STS-81,450.0,StatusRetired,1997,1,Success
1409,Lockheed,USA,Titan IV(404)A, NROL-2 (KH-11 Kennen),,StatusRetired,1996,12,Success
1410,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2336,,StatusRetired,1996,12,Success
1411,ILS,USA,Atlas IIA, Inmarsat 3-F3,,StatusRetired,1996,12,Success
1412,VKS RF,Kazakhstan,Tsyklon-2, Cosmos 2335,,StatusRetired,1996,12,Success
1413,NASA,USA,Space Shuttle Columbia, STS-80,450.0,StatusRetired,1996,12,Success
1414,Boeing,USA,Delta II 7925, Mars Pathfinder,,StatusRetired,1996,12,Success
1415,ILS,USA,Atlas IIA, Hot Bird 2,,StatusRetired,1996,11,Success
1416,Arianespace,France,Ariane 44L," Arabsat-2B, Measat-2",,StatusRetired,1996,11,Success
1417,Boeing,USA,Delta II 7925, Mars Global Surveyor,,StatusRetired,1996,11,Success
1418,Northrop,USA,Pegasus XL, HETE & SAC-B,40.0,StatusActive,1996,11,Failure
1419,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-3 n†­165,,StatusRetired,1996,10,Success
1420,CASC,China,Long March 2D, FSW-2 No.3,29.75,StatusActive,1996,10,Success
1421,NASA,USA,Space Shuttle Atlantis, STS-79,450.0,StatusRetired,1996,9,Success
1422,Boeing,USA,Delta II 7925, USA-128 (GPS IIA-18),,StatusRetired,1996,9,Success
1423,Arianespace,France,Ariane 42P, Echostar-2,,StatusRetired,1996,9,Success
1424,ILS,USA,Atlas IIA, GE-1,,StatusRetired,1996,9,Success
1425,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2334 & UNAMSAT-B,,StatusRetired,1996,9,Success
1426,VKS RF,Kazakhstan,Zenit-2, Cosmos 2333,,StatusRetired,1996,9,Success
1427,RVSN USSR,Russian Federation,Molniya-M /Block SO-L," Interbol 2, Magion5 & Victor",,StatusRetired,1996,8,Success
1428,Northrop,USA,Pegasus XL, FAST,40.0,StatusActive,1996,8,Success
1429,CASC,China,Long March 3, Chinasat-7,,StatusRetired,1996,8,Partial Failure
1430,MHI,Japan,H-II (2 SSB), Fuji 2 & Midori,,StatusRetired,1996,8,Success
1431,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-1T n†­164,,StatusRetired,1996,8,Success
1432,Arianespace,France,Ariane 44L," Italsat F2, Telecom 2D",,StatusRetired,1996,8,Success
1433,Lockheed,USA,Atlas II, UHF F7,,StatusRetired,1996,7,Success
1434,Boeing,USA,Delta II 7925, USA-126 (GPS IIA-17),,StatusRetired,1996,7,Success
1435,Arianespace,France,Ariane 44L," Arabsat-2A, T??rksat 1C",,StatusRetired,1996,7,Success
1436,CASC,China,Long March 3, Apstar 1A,,StatusRetired,1996,7,Success
1437,Lockheed,USA,Titan IV(405)A, SDS,,StatusRetired,1996,7,Success
1438,Northrop,USA,Pegasus XL, TOMS,40.0,StatusActive,1996,7,Success
1439,NASA,USA,Space Shuttle Columbia, STS-78,450.0,StatusRetired,1996,6,Success
1440,Arianespace,France,Ariane 44P, Intelsat 709,,StatusRetired,1996,6,Success
1441,ESA,France,Ariane 5 G, Cluster,,StatusRetired,1996,6,Failure
1442,Boeing,USA,Delta II 7925, Galaxy 9,,StatusRetired,1996,5,Success
1443,NASA,USA,Space Shuttle Endeavour, STS-77,450.0,StatusRetired,1996,5,Success
1444,Northrop,USA,Pegasus, MSTI-3,40.0,StatusRetired,1996,5,Success
1445,Arianespace,France,Ariane 44L," Palapa C2, AMOS-1",,StatusRetired,1996,5,Success
1446,Lockheed,USA,Titan IV(403)A," SLDCOM, NOSS 3x, TiPS 2x",,StatusRetired,1996,5,Success
1447,Lockheed,USA,Atlas I, BeppoSAX,,StatusRetired,1996,4,Success
1448,Lockheed,USA,Titan IV(401)A, Mercury,,StatusRetired,1996,4,Success
1449,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2265,,StatusRetired,1996,4,Success
1450,Boeing,USA,Delta II 7920-10, MSX,,StatusRetired,1996,4,Success
1451,Arianespace,France,Ariane 42P, M-SAT-1,,StatusRetired,1996,4,Success
1452,ILS,USA,Atlas IIA, Inmarsat 3-F1,,StatusRetired,1996,4,Success
1453,Boeing,USA,Delta II 7925, USA-117 (GPS IIA-16),,StatusRetired,1996,3,Success
1454,NASA,USA,Space Shuttle Atlantis, STS-76,450.0,StatusRetired,1996,3,Success
1455,ISRO,India,PSLV-G, IRS-P3,25.0,StatusRetired,1996,3,Success
1456,Arianespace,France,Ariane 44LP, Intelsat 707,,StatusRetired,1996,3,Success
1457,Northrop,USA,Pegasus XL, REX II,40.0,StatusActive,1996,3,Success
1458,Boeing,USA,Delta II 7925-10, Polar,,StatusRetired,1996,2,Success
1459,NASA,USA,Space Shuttle Columbia, STS-75,450.0,StatusRetired,1996,2,Success
1460,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2328 to 2330 & Gonets 1 to 3,,StatusRetired,1996,2,Success
1461,Boeing,USA,Delta II 7925-8, NEAR,,StatusRetired,1996,2,Success
1462,CASC,China,Long March 3B, Intelsat 708,,StatusActive,1996,2,Failure
1463,Arianespace,France,Ariane 44P, N-Star B,,StatusRetired,1996,2,Success
1464,ILS,USA,Atlas IIAS, Palapa C1,,StatusRetired,1996,2,Success
1465,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2327,,StatusRetired,1996,1,Success
1466,Boeing,USA,Delta II 7925, Koreasat-2,,StatusRetired,1996,1,Success
1467,Arianespace,France,Ariane 44L," Panamsat-3R, Measat-1",,StatusRetired,1996,1,Success
1468,NASA,USA,Space Shuttle Endeavour, STS-72,450.0,StatusRetired,1996,1,Success
1469,Boeing,USA,Delta II 7920-10, XTE,,StatusRetired,1995,12,Success
1470,CASC,China,Long March 2E, EchoStar 1,,StatusRetired,1995,12,Success
1471,VKS RF,Kazakhstan,Molniya-M /Block 2BL, IRS-1C & Skipper,,StatusRetired,1995,12,Success
1472,VKS RF,Kazakhstan,Tsyklon-2, Cosmos 2326,,StatusRetired,1995,12,Success
1473,Lockheed,USA,Atlas IIA, Galaxy 3R,,StatusRetired,1995,12,Success
1474,Arianespace,France,Ariane 44L," Telecom 2C, Insat 2C",,StatusRetired,1995,12,Success
1475,Lockheed,USA,Titan IV(404)A, KH-11 Kennen,,StatusRetired,1995,12,Success
1476,Lockheed,USA,Atlas IIAS, SOHO,,StatusRetired,1995,12,Success
1477,CASC,China,Long March 2E, AsiaSat 2,,StatusRetired,1995,11,Success
1478,Arianespace,France,Ariane 44P, Infrared Space Observatory,,StatusRetired,1995,11,Success
1479,NASA,USA,Space Shuttle Atlantis, STS-74,450.0,StatusRetired,1995,11,Success
1480,Lockheed,USA,Titan IV(401)A, Milstar DFS-2,,StatusRetired,1995,11,Success
1481,Boeing,USA,Delta II 7920-10, RADARSAT-1 and SURFSAT,,StatusRetired,1995,11,Success
1482,VKS RF,Kazakhstan,Zenit-2, Cosmos 2322,,StatusRetired,1995,10,Success
1483,EER,USA,Conestoga-1620, METEOR,20.0,StatusRetired,1995,10,Failure
1484,Lockheed,USA,Atlas II, USA-114 (UHF F6),,StatusRetired,1995,10,Success
1485,NASA,USA,Space Shuttle Columbia, STS-73,450.0,StatusRetired,1995,10,Success
1486,Arianespace,France,Ariane 42L, Astra 1E,,StatusRetired,1995,10,Success
1487,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2321,,StatusRetired,1995,10,Partial Failure
1488,Arianespace,France,Ariane 42L, Telstar 402R,,StatusRetired,1995,9,Success
1489,NASA,USA,Space Shuttle Endeavour, STS-69,450.0,StatusRetired,1995,9,Success
1490,Boeing,USA,Delta II 7925, Koreasat 1,,StatusRetired,1995,9,Partial Failure
1491,VKS RF,Russian Federation,Tsyklon-3, Sich 1 & FASat Alfa,,StatusRetired,1995,8,Success
1492,Arianespace,France,Ariane 42P, N-Star A,,StatusRetired,1995,8,Success
1493,ILS,USA,Atlas IIAS, JCSAT-3,,StatusRetired,1995,8,Success
1494,Lockheed,USA,Athena I, GemStar 1,,StatusRetired,1995,8,Failure
1495,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-3 n†­163,,StatusRetired,1995,8,Success
1496,Arianespace,France,Ariane 42L, Panamsat-4,,StatusRetired,1995,8,Success
1497,RVSN USSR,Russian Federation,Molniya-M /Block SO-L, Interbol 1 & Magion 4,,StatusRetired,1995,8,Success
1498,Lockheed,USA,Atlas IIA, USA-113 (DSCS IIIB-7),,StatusRetired,1995,7,Success
1499,NASA,USA,Space Shuttle Discovery, STS-70,450.0,StatusRetired,1995,7,Success
1500,Lockheed,USA,Titan IV(401)A, Trumpet,,StatusRetired,1995,7,Success
1501,Arianespace,France,Ariane 40," Helios 1A, Cerise, LBSAT-1",,StatusRetired,1995,7,Success
1502,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2315,,StatusRetired,1995,7,Success
1503,NASA,USA,Space Shuttle Atlantis, STS-71,450.0,StatusRetired,1995,6,Success
1504,Northrop,USA,Pegasus XL, STEP-3,40.0,StatusActive,1995,6,Failure
1505,Arianespace,France,Ariane 42P, DBS-3,,StatusRetired,1995,6,Success
1506,VKS RF,Kazakhstan,Tsyklon-2, Cosmos 2313,,StatusRetired,1995,6,Success
1507,Lockheed,USA,Atlas II, USA-111 (UHF F5),,StatusRetired,1995,5,Success
1508,VKS RF,Russian Federation,Molniya-M /Block 2BL, Cosmos 2312,,StatusRetired,1995,5,Success
1509,Lockheed,USA,Atlas I, GOES-J,,StatusRetired,1995,5,Success
1510,Arianespace,France,Ariane 44LP, Intelsat 706,,StatusRetired,1995,5,Success
1511,Lockheed,USA,Titan IV(401)A, Mentor,,StatusRetired,1995,5,Success
1512,Arianespace,France,Ariane 40, ERS-2,,StatusRetired,1995,4,Success
1513,ILS,USA,Atlas IIA, AMSC-1,,StatusRetired,1995,4,Success
1514,IAI,Israel,Shavit, Ofek-3,,StatusRetired,1995,4,Success
1515,Northrop,USA,Pegasus, Orbcomm F1 and F2 & OrbView-1,40.0,StatusRetired,1995,4,Success
1516,Arianespace,France,Ariane 44LP," Brasilsat B2, Hot Bird 1",,StatusRetired,1995,3,Success
1517,MITT,Russian Federation,Start," EKA-2, Gurwin & UNAMSAT A",,StatusRetired,1995,3,Failure
1518,General Dynamics,USA,Atlas-E/F Star-37S-ISS, DMSP F-13,,StatusRetired,1995,3,Success
1519,ILS,USA,Atlas IIAS, Intelsat 705,,StatusRetired,1995,3,Success
1520,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2310,,StatusRetired,1995,3,Success
1521,MHI,Japan,H-II, Himawari 5 & SFU 1,,StatusRetired,1995,3,Success
1522,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2306,,StatusRetired,1995,3,Success
1523,NASA,USA,Space Shuttle Endeavour, STS-67,450.0,StatusRetired,1995,3,Success
1524,NASA,USA,Space Shuttle Discovery, STS-63,450.0,StatusRetired,1995,2,Success
1525,Lockheed,USA,Atlas II, USA-108 (UHF F4),,StatusRetired,1995,1,Success
1526,CASC,China,Long March 2E, Apstar 2,,StatusRetired,1995,1,Failure
1527,VKS RF,Russian Federation,Cosmos-3M (11K65M)," Tsikada 1, Faisat 1 & Astrid 1",,StatusRetired,1995,1,Success
1528,ISAS,Japan,Mu-III S2, EXPRESS,,StatusRetired,1995,1,Partial Failure
1529,ILS,USA,Atlas IIAS, Intelsat 704,,StatusRetired,1995,1,Success
1530,General Dynamics,USA,Atlas-E/F Star-37S-ISS, NOAA-J,,StatusRetired,1994,12,Success
1531,VKS RF,Kazakhstan,Rokot/Briz K, Radio-ROSTO,,StatusRetired,1994,12,Success
1532,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2299 to 2304,,StatusRetired,1994,12,Success
1533,Martin Marietta,USA,Titan IV(402)A, DSP,,StatusRetired,1994,12,Success
1534,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2298,,StatusRetired,1994,12,Success
1535,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-1T n†­162,,StatusRetired,1994,12,Success
1536,Arianespace,France,Ariane 42P, Panamsat-3,,StatusRetired,1994,12,Failure
1537,CASC,China,Long March 3A, Chinasat-5,69.7,StatusActive,1994,11,Partial Failure
1538,Lockheed,USA,Atlas IIA, Orion 1,,StatusRetired,1994,11,Success
1539,VKS RF,Russian Federation,Tsyklon-3, Geo-IK 1,,StatusRetired,1994,11,Success
1540,VKS RF,Kazakhstan,Zenit-2, Cosmos 2297,,StatusRetired,1994,11,Success
1541,VKS RF,Kazakhstan,Zenit-2, Resurs-O1 n†­3,,StatusRetired,1994,11,Success
1542,NASA,USA,Space Shuttle Atlantis, STS-66,450.0,StatusRetired,1994,11,Success
1543,VKS RF,Kazakhstan,Tsyklon-2, Cosmos 2293,,StatusRetired,1994,11,Success
1544,Boeing,USA,Delta II 7925-10, Wind,,StatusRetired,1994,11,Success
1545,Arianespace,France,Ariane 42P, Astra 1D,,StatusRetired,1994,11,Success
1546,ISRO,India,PSLV-G, IRS-P2,25.0,StatusRetired,1994,10,Success
1547,VKS RF,Russian Federation,Tsyklon-3, Okean 4,,StatusRetired,1994,10,Success
1548,Arianespace,France,Ariane 44L," Solidaridad-2, Thaicom-2",,StatusRetired,1994,10,Success
1549,Lockheed,USA,Atlas IIAS, Intelsat 703,,StatusRetired,1994,10,Success
1550,NASA,USA,Space Shuttle Endeavour, STS-68,450.0,StatusRetired,1994,9,Success
1551,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2292,,StatusRetired,1994,9,Success
1552,NASA,USA,Space Shuttle Discovery, STS-64,450.0,StatusRetired,1994,9,Success
1553,Arianespace,France,Ariane 42L, Telstar 402,,StatusRetired,1994,9,Success
1554,Northrop,USA,Pegasus, APEX,40.0,StatusRetired,1994,9,Success
1555,General Dynamics,USA,Atlas-E/F Star-37S-ISS, DMSP F-12,,StatusRetired,1994,8,Success
1556,MHI,Japan,H-II, Kiku 6,,StatusRetired,1994,8,Success
1557,CASC,China,Long March 2E, Optus-B3,,StatusRetired,1994,8,Success
1558,Martin Marietta,USA,Titan IV(401)A, Mercury,,StatusRetired,1994,8,Success
1559,VKS RF,Kazakhstan,Zenit-2, Cosmos 2290,,StatusRetired,1994,8,Success
1560,VKS RF,Russian Federation,Molniya-M /Block ML, Molniya-3 n†­161,,StatusRetired,1994,8,Success
1561,Arianespace,France,Ariane 44LP," Brasilsat B1, Turksat 1B",,StatusRetired,1994,8,Success
1562,VKS RF,Russian Federation,Molniya-M /Block 2BL, Cosmos 2286,,StatusRetired,1994,8,Success
1563,Lockheed,USA,Atlas IIA, DBS-2,,StatusRetired,1994,8,Success
1564,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2285,,StatusRetired,1994,8,Success
1565,CASC,China,Long March 3, Apstar-1,,StatusRetired,1994,7,Success
1566,VKS RF,Russian Federation,Cosmos-3M (11K65M), Nadiezhda n†­7,,StatusRetired,1994,7,Success
1567,Arianespace,France,Ariane 44L," Panamsat-2, Yuri-3N",,StatusRetired,1994,7,Success
1568,NASA,USA,Space Shuttle Columbia, STS-65,450.0,StatusRetired,1994,7,Success
1569,CASC,China,Long March 2D, FSW-2 No.2,29.75,StatusActive,1994,7,Success
1570,Northrop,USA,Pegasus XL, STEP-1,40.0,StatusActive,1994,6,Failure
1571,Lockheed,USA,Atlas I, UHF F3,,StatusRetired,1994,6,Success
1572,Arianespace,France,Ariane 44LP," Intelsat 702, STRV 1A & 1B",,StatusRetired,1994,6,Success
1573,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2281,,StatusRetired,1994,5,Failure
1574,Northrop,USA,Pegasus/HAPS, STEP-2,40.0,StatusRetired,1994,5,Partial Failure
1575,ISRO,India,ASLV, SROSS C2,,StatusRetired,1994,5,Success
1576,Martin Marietta,USA,Titan IV(401)A, Trumpet,,StatusRetired,1994,5,Success
1577,VKS RF,Russian Federation,Cosmos-3M (11K65M), Cosmos 2279,,StatusRetired,1994,4,Success
1578,VKS RF,Kazakhstan,Zenit-2, Cosmos 2278,,StatusRetired,1994,4,Success
1579,Lockheed,USA,Atlas I, GOES-I,,StatusRetired,1994,4,Success
1580,NASA,USA,Space Shuttle Endeavour, STS-59,450.0,StatusRetired,1994,4,Success
1581,Boeing,USA,Delta II 7925-8, Galaxy 1R,,StatusRetired,1994,3,Success
1582,Northrop,USA,Minotaur C (Taurus), STEP Mission 0 & DARPASAT,45.0,StatusActive,1994,3,Success
1583,Boeing,USA,Delta II 7925, USA-100 (GPS IIA-15)/SEDS-2,,StatusRetired,1994,3,Success
1584,NASA,USA,Space Shuttle Columbia, STS-62,450.0,StatusRetired,1994,3,Success
1585,VKS RF,Russian Federation,Tsyklon-3, Koronas I,,StatusRetired,1994,3,Success
1586,VKS RF,Russian Federation,Tsyklon-3, Cosmos 2268 to 2273,,StatusRetired,1994,2,Success
1587,CASC,China,Long March 3A," Shijian 4, Kuafu-1 (mass simulator)",69.7,StatusActive,1994,2,Success
1588,Martin Marietta,USA,Titan IV(401)A, Milstar DFS-1,,StatusRetired,1994,2,Success
1589,MHI,Japan,H-II, Ryusei & Myojo,,StatusRetired,1994,2,Success
1590,NASA,USA,Space Shuttle Discovery, STS-60,450.0,StatusRetired,1994,2,Success
1591,Martin Marietta,USA,Titan II(23)G, Clementine,35.0,StatusRetired,1994,1,Success
1592,VKS RF,Russian Federation,Tsyklon-3, Meteor-3 n†­6 & Tubsat-B,,StatusRetired,1994,1,Success
